fastq_md5	fastq_ftp
5a9b8f6b1d5b9a6d15ea9c4011646f8a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934189/ERR1934189.fastq.gz
741257fe9214d3dab2b7c690e4013c19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934190/ERR1934190.fastq.gz
b9d5aded448514dcb33f00beb8b3da68	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934191/ERR1934191.fastq.gz
92047c22ecf19bed248982dd6fbfcd82	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934192/ERR1934192.fastq.gz
906a96dfadbf510084e14c2e5b2d9603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934193/ERR1934193.fastq.gz
9b7189dba024bbb24c4728a8760f5e87	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934194/ERR1934194.fastq.gz
69691476b50665e2caa0b729f326f0c2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934195/ERR1934195.fastq.gz
39f78485cbb07e58485ba5afa3d57a4a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/006/ERR1934196/ERR1934196.fastq.gz
d3c91063fd146ccd6ecc00b1ee29bb85	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934197/ERR1934197.fastq.gz
cc5021d0a389e7d3cf0db5ec24b0c048	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934198/ERR1934198.fastq.gz
4921f67f5a6e3d34351521089cfe3f66	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934199/ERR1934199.fastq.gz
7954f93539ff5ebd1962376cf2c3607f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934200/ERR1934200.fastq.gz
505a02acc57be5ab10589b971e46fff3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934201/ERR1934201.fastq.gz
1e2b26696099089ecaff0458d2e67e9a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934202/ERR1934202.fastq.gz
83e787ea51d31803910113f0c66fe949	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934203/ERR1934203.fastq.gz
252560caa566a9069a240f9de9a63a09	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934204/ERR1934204.fastq.gz
6d02b5bb22e9eb7b82e9a7686ed09fdf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934205/ERR1934205.fastq.gz
0319219711f876447dc7d4f5b3b70d4a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/006/ERR1934206/ERR1934206.fastq.gz
599c6ba797a1ae490f64fb7488359ebf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934207/ERR1934207.fastq.gz
4266a6edb4ffe90369ac63ea71355405	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934208/ERR1934208.fastq.gz
668a95bd6f0b88e64d0796c09ea6aa81	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934209/ERR1934209.fastq.gz
69dbc0c5d7860f9a66991d6e073465ed	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934210/ERR1934210.fastq.gz
afcfe2cd10bc8c27937d44e589a66568	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934211/ERR1934211.fastq.gz
207a9c8ce22b0f8788994ccf614ba12f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934212/ERR1934212.fastq.gz
b8ada9ad15c85cd766cdc71a1fa0a6ac	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934213/ERR1934213.fastq.gz
b2490703fc40cc429a79b461e63740a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934214/ERR1934214.fastq.gz
2342f6ff91c10c25fea1ecc0a97bd3c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934215/ERR1934215.fastq.gz
8484f2f63581060bdca78f7184bbd292	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/006/ERR1934216/ERR1934216.fastq.gz
6c025dd76ae47e65ef8de188c734bf61	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934217/ERR1934217.fastq.gz
53866c8c844b0b12537e07e9b4147692	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934218/ERR1934218.fastq.gz
6cc850be0c792fee9ebc3125fa098d45	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934219/ERR1934219.fastq.gz
0a3d537451f0ba2e6fcf6e9e306a68dd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934220/ERR1934220.fastq.gz
0e73c6693c4387720270282bc20c0468	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934221/ERR1934221.fastq.gz
9dbbac1ccf05ab6e358d785eafb1b178	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934222/ERR1934222.fastq.gz
a8d6afa12f14db7884257fba188b48ec	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934223/ERR1934223.fastq.gz
f4507cb515590397c267732bfa5f7744	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934224/ERR1934224.fastq.gz
b558c05805383d20a94c7601c30d0aa0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934225/ERR1934225.fastq.gz
76fc8fec8ca5d67040200cde486adcda	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/006/ERR1934226/ERR1934226.fastq.gz
60a068c5e1d0e3fef8dbfb80ba1e09ca	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/007/ERR1934227/ERR1934227.fastq.gz
f4d1c11ac363ed123683cbb8752d31b3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/008/ERR1934228/ERR1934228.fastq.gz
48c1be1684a058a4889c12e6b4a8e579	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/009/ERR1934229/ERR1934229.fastq.gz
d444fd2a2f23585a6f95aa2b054d0e80	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/000/ERR1934230/ERR1934230.fastq.gz
7a1c1fbd63c4c3c19135acd0b834d6b3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/001/ERR1934231/ERR1934231.fastq.gz
c601b86b86acbe009e60a4ebddfea02c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/002/ERR1934232/ERR1934232.fastq.gz
79424d10028776cc4404cc5185709da3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/003/ERR1934233/ERR1934233.fastq.gz
1d5d03e378f8518e995c1a5035ec1325	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/004/ERR1934234/ERR1934234.fastq.gz
0a4c336f52f03a73ca1fb3d150316eb6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR193/005/ERR1934235/ERR1934235.fastq.gz
